,date,retweet,text,,
50,Oct 2,False,"Reminder: While Trump probably pays no federal taxes, he wants a $4 billion tax break for his own family.  http://hrc.io/2d6Jk5j  pic.twitter.com",,
51,Oct 2,False,Now that's pretty rich coming from a guy who paid $0 in taxes for 18 years: http://hrc.io/2d6BTv0 https://twitter.com/realDonaldTrump/status/172772609627394049 …,,
52,Oct 2,False,"Try our new tool! See how much you'd pay in federal income taxes if you paid the same as ""billionaire"" Donald Trump:http://hrc.io/2d6wSlS ",,
53,Oct 2,False,.@TimKaine's favorite records—and 13 other things you should know about America's next vice president:http://hrc.io/2dkeRDO ,,
54,Oct 1,False,"Trump ""apparently got to avoid paying taxes for nearly two decades—while tens of millions of working families paid theirs."" pic.twitter.com",,
55,Oct 1,False,"“She’s just out there every day doing God’s work in her own way. You know? Making her parents proud.” —Betsy, Hillary's lifelong friend pic.twitter.com",,
56,Oct 1,False,Don't boo. Vote!  http://IWillVote.com  pic.twitter.com,,
57,Oct 1,False,"""It was overwhelming, in every sense of that word."" —Betsy, Hillary's oldest friend, on casting the Illinois delegation's votes at the DNC pic.twitter.com",,
58,Oct 1,False,Great step forward by the Obama administration. It’s past time for Congress to guarantee paid sick leave for everyone. -Hhttps://twitter.com/POTUS/status/782218662228942848 …,,
59,Oct 1,False,Nobody here was “having fun” except for Trump. pic.twitter.com,,
60,Oct 1,False,"For those few people knocking public service, hope you'll reconsider answering the call to help others. Because we're stronger together.",,
61,Oct 1,False,"Remember, don't believe the haters who describe America as hopeless and broken. We should lift each other up, not tear each other down.",,
62,Oct 1,False,It's 3:20am. As good a time as any to tweet about national service.http://hrc.io/2d35BB5 ,,
63,Sep 30,False,"Trump stood on a debate stage and lied to millions of Americans.

Chip in to make sure he never becomes president:  http://hrc.io/2df1kxe  pic.twitter.com",,
64,Sep 30,False,"When Ruline was born, women couldn't vote. Yesterday, at 103, she voted for Hillary. Make sure you're registered:  http://IWillVote.com  pic.twitter.com",,
65,Sep 30,False,Make sure @realDonaldTrump's bullying never reaches the White House. Chip in now:  http://hrc.io/2drc4ZK  pic.twitter.com,,
66,Sep 30,False,A man who can be provoked by a tweet should not be anywhere near the nuclear codes.,,
