,date,retweet,text,,
68,Aug 29,False,Wet beachy glam last night #vmas pic.twitter.com,,
69,Aug 29,False,Vintage Galliano & Kanye West x Jacob the Jeweler's new collection for the VMA's pic.twitter.com,,
70,Aug 29,False,Let's just go to the gym together! LOL I love you!!!! #YourMyMotivation -#BodyGoals https://twitter.com/teyanataylor/status/770288621454815232 …,,
71,Aug 29,False,I'm so happy we met!!! Can't wait to see you soon! https://twitter.com/simone_biles/status/770118544294043649 …,,
72,Aug 29,False,You guys!!! @TEYANATAYLOR has the best body ever!!! Like no joke and just had a baby!!!! ,,
73,Aug 29,False,Ok just woke up & watched the Fade video again for my Monday morning gym motivation. Thank you @TEYANATAYLOR ,,
74,Aug 29,False,MUSIC MONDAY: MY FAVE KANYE SONGS https://www.kimkardashianwest.com/obsessed/1308-kim-kardashian-favorite-kanye-songs/ …,,
75,Aug 28,False,What color hair should I do for the #VMAs ????,,
76,Aug 28,False,"OK I will take a poll, what should I wear tonight?",,
77,Aug 28,False,"I am obsessed with my husband, but its not him #VMAs",,
78,Aug 28,False,"And I see you guys guessing on who I am presenting....A little hint, it's someone i am obsessed with!!!! LIKE OBSESSED!!!!! #VMAs",,
79,Aug 27,False,Famous Exhibit at Blum & Poe Art Gallery pic.twitter.com,,
80,Aug 27,False,I think Uber reached out to Kendall and fixed the issue! https://twitter.com/wannabelikekim/status/769653376393043968 …,,
81,Aug 27,False,"6 DAYS, 6 WAYS: OUR YEEZY BOOST 350 SNEAKERS https://www.kimkardashianwest.com/style/1311-kim-kardashian-sisters-yeezy-boosts/ …",,
82,Aug 27,False,"Ugh I have to drive @KendallJenner around tonight bc she's banned from Uber! Why @Uber?!?! She's a ""model"" passenger!!!!!",,
83,Aug 26,False,Heading to a secret art gallery location to view Kanye's Famous Exhibition!!!!,,
84,Aug 25,False,I'm watching these beauty blogger audition tapes for my new show!!!! So many amazing people to choose from. This is going to be so much fun!,,
85,Aug 24,False,Lost files from Mexico pic.twitter.com,,
86,Aug 24,False,BTS AT KANYE’S ‘FAMOUS’ VIDEO SCREENING https://www.kimkardashianwest.com/behind-the-scenes/1298-kim-kardashian-kanye-famous-video-bts-photos/ …,,
87,Aug 23,False,Sign up now!!  http://TheMasterClass.com  pic.twitter.com,,
88,Aug 23,False,I'm up so early. Do I workout or try to go back to sleep?,,
89,Aug 23,False, http://TheMasterClass.com  for tickets Oct 14! Our 1st sponsor is KYLIE COSMETICS! So everyone will get a free lip kit! pic.twitter.com,,
90,Aug 22,False,GLOW pic.twitter.com,,
91,Aug 22,False,Excited to be partnering with @sugarbearhair to share their amazing hair vitamins with you! So delish!  #ad pic.twitter.com,,
92,Aug 22,False,Selfish in Mexico pic.twitter.com,,
93,Aug 22,False,Werk @KendallJenner !!!!! #VogueJapan pic.twitter.com,,
94,Aug 22,False,"5 DAYS, 5 WAYS: MY YEEZY BOOTS https://www.kimkardashianwest.com/style/1281-kim-kardashian-yeezy-boots/ …",,
95,Aug 22,False,"Not much time left to get he Kimoji bike shorts, body suits and sweat shirts!!!!",,
96,Aug 21,False,Only a few hours left for new #KIMOJIMERCH!!!  http://store.kimkardashianwest.com  pic.twitter.com,,
97,Aug 21,False,#KUWTK starts now!!!!,,
98,Aug 21,False,"Last day to get the Kimoji Merch!!!! Bike shorts, bodysuits & sweatshirts!  http://KimKardashianWest.com  pic.twitter.com",,
99,Aug 21,False,HOW TO WEAR OLYMPIC GOLD METALS https://www.kimkardashianwest.com/beauty/1276-kim-kardashian-olympic-gold/ …,,
100,Aug 21,False,Beach selfies of course!  pic.twitter.com,,
101,Aug 20,False,Nothing better than @realjoefrancis's house in Punta Mita! Thank you for the best memories! #CasaAramara pic.twitter.com,,
102,Aug 20,False,In honor of @styledbyhrush birthday a month ago LOL she taught me how 2 twerk on this trip so I posting it for her  pic.twitter.com,,
103,Aug 19,False,Kanye's fave is the wave sweatshirt and hat  https://twitter.com/markosto_/status/766851748384366592 …,,
104,Aug 19,False,Goals af https://twitter.com/kristimedearis/status/766767168562270209 …,,
105,Aug 19,False,New KIMOJI Merch available for just the weekend!  http://KimKardashianWest.com  or my app!  http://store.kimkardashianwest.com/  pic.twitter.com,,
106,Aug 19,False,A couple that trends merch together slays together! LOL pic.twitter.com,,
107,Aug 19,False,"NEW #KIMOJIMERCH IS HERE! Shop bodysuits, bike shorts and sweatshirts but ONLY until Sunday night!!!  http://store.kimkardashianwest.com ",,
108,Aug 19,False,Best trip ever! Follow me on snap pic.twitter.com,,
